# title of the track
left,right
First line of the lyrics,第一行歌词
Second line of the lyrics,第二行歌词
Third line of the lyrics,第三行歌词
Forth line of the lyrics,第四行歌词
,
First line of the lyrics,第一行歌词
Second line of the lyrics,第二行歌词
Third line of the lyrics,第三行歌词
Forth line of the lyrics,第四行歌词
,
First line of the lyrics,第一行歌词
Second line of the lyrics,第二行歌词
Third line of the lyrics,第三行歌词
Forth line of the lyrics,第四行歌词
,
First line of the lyrics,第一行歌词
Second line of the lyrics,第二行歌词
Third line of the lyrics,第三行歌词
Forth line of the lyrics,第四行歌词
