# title of the track
left,right
works03First line of the lyrics,works03第一行歌词
works03Second line of the lyrics,works03第二行歌词
works03Third line of the lyrics,works03第三行歌词
works03Forth line of the lyrics,works03第四行歌词
,
works03First line of the lyrics,works03第一行歌词
works03Second line of the lyrics,works03第二行歌词
works03Third line of the lyrics,works03第三行歌词
works03Forth line of the lyrics,works03第四行歌词
,
works03First line of the lyrics,works03第一行歌词
works03Second line of the lyrics,works03第二行歌词
works03Third line of the lyrics,works03第三行歌词
works03Forth line of the lyrics,works03第四行歌词
,
works03First line of the lyrics,works03第一行歌词
works03Second line of the lyrics,works03第二行歌词
works03Third line of the lyrics,works03第三行歌词
works03Forth line of the lyrics,works03第四行歌词
